Station Name,Latitude,Longitude,Date,PM25,NO2,O3,TEMP,HSDA,HA
Abbotsford A Columbia Street,49.0215,-122.3266,10/15/22,18.5,9.1,20.4,19.7,Fraser East,Fraser
Abbotsford A Columbia Street,49.0215,-122.3266,10/16/22,44.6,6,25.4,19.8,Fraser East,Fraser
Abbotsford A Columbia Street,49.0215,-122.3266,10/17/22,35.4,12.6,12.7,13.2,Fraser East,Fraser
Abbotsford A Columbia Street,49.0215,-122.3266,10/18/22,162.4,19.2,7,11.8,Fraser East,Fraser
Abbotsford A Columbia Street,49.0215,-122.3266,10/19/22,125.4,16.6,13.3,12.3,Fraser East,Fraser
Abbotsford A Columbia Street,49.0215,-122.3266,10/20/22,34.7,9.3,14.7,12.3,Fraser East,Fraser
Abbotsford A Columbia Street,49.0215,-122.3266,10/21/22,,4.8,21.2,8.6,Fraser East,Fraser
Abbotsford Central,49.0428,-122.3097,10/15/22,16.7,14.3,13.2,18.3,Fraser East,Fraser
Abbotsford Central,49.0428,-122.3097,10/16/22,41.1,9.2,19.9,18.2,Fraser East,Fraser
Abbotsford Central,49.0428,-122.3097,10/17/22,33.2,,,13.3,Fraser East,Fraser
Abbotsford Central,49.0428,-122.3097,10/18/22,160.4,20.6,5.3,11.9,Fraser East,Fraser
Abbotsford Central,49.0428,-122.3097,10/19/22,125.1,20.8,9.3,12.4,Fraser East,Fraser
Abbotsford Central,49.0428,-122.3097,10/20/22,38.2,12.4,13.9,12.8,Fraser East,Fraser
Abbotsford Central,49.0428,-122.3097,10/21/22,2.7,8.4,19.1,8.9,Fraser East,Fraser
Burnaby Kensington Park,49.2794,-122.9711,10/15/22,9.8,13.1,14.3,17.7,Fraser North,Fraser
Burnaby Kensington Park,49.2794,-122.9711,10/16/22,19.1,16.6,19.2,18.5,Fraser North,Fraser
Burnaby Kensington Park,49.2794,-122.9711,10/17/22,25.9,13.8,17.9,14.4,Fraser North,Fraser
Burnaby Kensington Park,49.2794,-122.9711,10/18/22,46.8,20.2,11.6,13.9,Fraser North,Fraser
Burnaby Kensington Park,49.2794,-122.9711,10/19/22,40.4,23.8,10.2,13.9,Fraser North,Fraser
Burnaby Kensington Park,49.2794,-122.9711,10/20/22,30.6,21.8,9.9,13,Fraser North,Fraser
Burnaby Kensington Park,49.2794,-122.9711,10/21/22,2.5,14.3,20.5,9.1,Fraser North,Fraser
Burnaby South,49.2153,-122.9856,10/15/22,11.4,18.6,13.1,18.9,Fraser North,Fraser
Burnaby South,49.2153,-122.9856,10/16/22,10.4,18.8,17.4,19.9,Fraser North,Fraser
Burnaby South,49.2153,-122.9856,10/17/22,24.9,12.2,21.4,14.4,Fraser North,Fraser
Burnaby South,49.2153,-122.9856,10/18/22,65.5,21.9,15.3,14.7,Fraser North,Fraser
Burnaby South,49.2153,-122.9856,10/19/22,56.5,32.2,7.6,14.1,Fraser North,Fraser
Burnaby South,49.2153,-122.9856,10/20/22,18.7,19.5,14.9,13.2,Fraser North,Fraser
Burnaby South,49.2153,-122.9856,10/21/22,1.1,11.3,24.4,9.1,Fraser North,Fraser
Chilliwack Airport,49.1561,-121.9406,10/15/22,20.2,10.7,18.5,20,Fraser East,Fraser
Chilliwack Airport,49.1561,-121.9406,10/16/22,51.5,9.1,17.3,17.9,Fraser East,Fraser
Chilliwack Airport,49.1561,-121.9406,10/17/22,80.7,16.6,5.7,11.1,Fraser East,Fraser
Chilliwack Airport,49.1561,-121.9406,10/18/22,176,16.2,5.3,9.8,Fraser East,Fraser
Chilliwack Airport,49.1561,-121.9406,10/19/22,208.6,18.7,7.6,10.6,Fraser East,Fraser
Chilliwack Airport,49.1561,-121.9406,10/20/22,103.9,14.7,9.6,12.2,Fraser East,Fraser
Chilliwack Airport,49.1561,-121.9406,10/21/22,1.5,8.4,19.6,9.3,Fraser East,Fraser
Hope Airport,49.3697,-121.4994,10/15/22,18.8,6,18.1,19,Fraser East,Fraser
Hope Airport,49.3697,-121.4994,10/16/22,86.6,6.2,16.7,17,Fraser East,Fraser
Hope Airport,49.3697,-121.4994,10/17/22,68.3,17.6,3.5,11.2,Fraser East,Fraser
Hope Airport,49.3697,-121.4994,10/18/22,164.7,19.7,2.2,9.9,Fraser East,Fraser
Hope Airport,49.3697,-121.4994,10/19/22,165.1,21.1,3.9,10.3,Fraser East,Fraser
Hope Airport,49.3697,-121.4994,10/20/22,131.1,18.9,5.2,11.5,Fraser East,Fraser
Hope Airport,49.3697,-121.4994,10/21/22,1.6,6.6,18.4,8.7,Fraser East,Fraser
Horseshoe Bay,49.3686,-123.2766,10/15/22,8.8,17.8,4.3,17.4,North Shore/Coast Garibaldi,Vancouver Coastal
Horseshoe Bay,49.3686,-123.2766,10/16/22,17.6,18.1,8.6,17.6,North Shore/Coast Garibaldi,Vancouver Coastal
Horseshoe Bay,49.3686,-123.2766,10/17/22,28.7,23.8,14.3,14.3,North Shore/Coast Garibaldi,Vancouver Coastal
Horseshoe Bay,49.3686,-123.2766,10/18/22,46.4,20.2,7.2,13.3,North Shore/Coast Garibaldi,Vancouver Coastal
Horseshoe Bay,49.3686,-123.2766,10/19/22,23.9,16.1,6.7,12.4,North Shore/Coast Garibaldi,Vancouver Coastal
Horseshoe Bay,49.3686,-123.2766,10/20/22,18.8,17.9,7,13.5,North Shore/Coast Garibaldi,Vancouver Coastal
Horseshoe Bay,49.3686,-123.2766,10/21/22,2.1,6.2,16.3,9.7,North Shore/Coast Garibaldi,Vancouver Coastal
Langley Central,49.0956,-122.5669,10/15/22,19.8,14.7,7.7,15.3,Fraser South,Fraser
Langley Central,49.0956,-122.5669,10/16/22,30.5,5.9,25.3,18.2,Fraser South,Fraser
Langley Central,49.0956,-122.5669,10/17/22,16.4,8.1,14.8,12,Fraser South,Fraser
Langley Central,49.0956,-122.5669,10/18/22,64,11.5,10.3,11.1,Fraser South,Fraser
Langley Central,49.0956,-122.5669,10/19/22,90.7,14,13,11.3,Fraser South,Fraser
Langley Central,49.0956,-122.5669,10/20/22,23.8,7.4,16.2,11.8,Fraser South,Fraser
Langley Central,49.0956,-122.5669,10/21/22,3.8,6.6,19.9,8.3,Fraser South,Fraser
North Delta,49.1583,-122.9017,10/15/22,13.8,23.6,8.3,16.6,Fraser South,Fraser
North Delta,49.1583,-122.9017,10/16/22,,18.7,17.8,17.6,Fraser South,Fraser
North Delta,49.1583,-122.9017,10/17/22,22.3,13.8,18.7,13.1,Fraser South,Fraser
North Delta,49.1583,-122.9017,10/18/22,64.1,24.6,12,13,Fraser South,Fraser
North Delta,49.1583,-122.9017,10/19/22,60,33.7,7.7,12.7,Fraser South,Fraser
North Delta,49.1583,-122.9017,10/20/22,19.5,16.5,13.8,12.2,Fraser South,Fraser
North Delta,49.1583,-122.9017,10/21/22,3.7,11,22.6,8.5,Fraser South,Fraser
North Vancouver Mahon Park,49.3239,-123.0836,10/15/22,11.7,23.4,6.6,15.7,North Shore/Coast Garibaldi,Vancouver Coastal
North Vancouver Mahon Park,49.3239,-123.0836,10/16/22,28.7,22.1,13,16.6,North Shore/Coast Garibaldi,Vancouver Coastal
North Vancouver Mahon Park,49.3239,-123.0836,10/17/22,24.3,15.6,17.8,14.5,North Shore/Coast Garibaldi,Vancouver Coastal
North Vancouver Mahon Park,49.3239,-123.0836,10/18/22,48.9,21.2,10.9,12.8,North Shore/Coast Garibaldi,Vancouver Coastal
North Vancouver Mahon Park,49.3239,-123.0836,10/19/22,31.2,21.5,10.2,12.5,North Shore/Coast Garibaldi,Vancouver Coastal
North Vancouver Mahon Park,49.3239,-123.0836,10/20/22,25.5,22.8,8.2,12.8,North Shore/Coast Garibaldi,Vancouver Coastal
North Vancouver Mahon Park,49.3239,-123.0836,10/21/22,1.7,10.8,20.8,9,North Shore/Coast Garibaldi,Vancouver Coastal
North Vancouver Second Narrows,49.3017,-123.0203,10/15/22,13.3,19.5,2,15.9,North Shore/Coast Garibaldi,Vancouver Coastal
North Vancouver Second Narrows,49.3017,-123.0203,10/16/22,23.9,24.1,4.2,16.5,North Shore/Coast Garibaldi,Vancouver Coastal
North Vancouver Second Narrows,49.3017,-123.0203,10/17/22,29.6,16.9,10.8,14.8,North Shore/Coast Garibaldi,Vancouver Coastal
North Vancouver Second Narrows,49.3017,-123.0203,10/18/22,46.5,24.2,3.5,12.6,North Shore/Coast Garibaldi,Vancouver Coastal
North Vancouver Second Narrows,49.3017,-123.0203,10/19/22,33.1,24.3,3.2,12.6,North Shore/Coast Garibaldi,Vancouver Coastal
North Vancouver Second Narrows,49.3017,-123.0203,10/20/22,28.8,19.7,5.8,12.7,North Shore/Coast Garibaldi,Vancouver Coastal
North Vancouver Second Narrows,49.3017,-123.0203,10/21/22,4.5,19.6,11.8,9.3,North Shore/Coast Garibaldi,Vancouver Coastal
Pitt Meadows Meadowlands School,49.2453,-122.7089,10/15/22,15.6,17.7,5.2,14.6,Fraser North,Fraser
Pitt Meadows Meadowlands School,49.2453,-122.7089,10/16/22,18.9,14.4,6.7,14,Fraser North,Fraser
Pitt Meadows Meadowlands School,49.2453,-122.7089,10/17/22,25.5,10.6,9.1,11.9,Fraser North,Fraser
Pitt Meadows Meadowlands School,49.2453,-122.7089,10/18/22,,19.6,3.6,11.7,Fraser North,Fraser
Pitt Meadows Meadowlands School,49.2453,-122.7089,10/19/22,,23.6,4.2,11.8,Fraser North,Fraser
Pitt Meadows Meadowlands School,49.2453,-122.7089,10/20/22,31.5,15.6,5.1,12,Fraser North,Fraser
Pitt Meadows Meadowlands School,49.2453,-122.7089,10/21/22,2.1,12.7,9.8,8.6,Fraser North,Fraser
Port Moody Rocky Point Park,49.2808,-122.8492,10/15/22,11.9,21.1,3.8,13.6,Fraser North,Fraser
Port Moody Rocky Point Park,49.2808,-122.8492,10/16/22,18.8,24.7,9.2,13.5,Fraser North,Fraser
Port Moody Rocky Point Park,49.2808,-122.8492,10/17/22,23.6,14.8,13.6,13.5,Fraser North,Fraser
Port Moody Rocky Point Park,49.2808,-122.8492,10/18/22,40.5,19.6,6.8,11.9,Fraser North,Fraser
Port Moody Rocky Point Park,49.2808,-122.8492,10/19/22,42.2,20.3,7.2,11.9,Fraser North,Fraser
Port Moody Rocky Point Park,49.2808,-122.8492,10/20/22,33.3,21.7,5.1,12.1,Fraser North,Fraser
Port Moody Rocky Point Park,49.2808,-122.8492,10/21/22,1.9,16.2,11.6,8.6,Fraser North,Fraser
Richmond South,49.1414,-123.1083,10/15/22,7.3,7.4,9,13.6,Richmond,Vancouver Coastal
Richmond South,49.1414,-123.1083,10/16/22,12.7,10.4,13.4,14.2,Richmond,Vancouver Coastal
